City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Barcelos,41.5388,-8.6151,48.2,100,75,6.91,PT,1613872249
Klaksvík,62.2266,-6.589,44.6,100,90,21.85,FO,1613872249
Lewistown,40.5992,-77.5714,23.0,68,1,13.8,US,1613872249
Upernavik,72.7868,-56.1549,-23.75,82,18,14.7,GL,1613872249
Stornoway,58.2093,-6.3865,45.0,81,75,33.38,GB,1613872249
Saskylakh,71.9167,114.0833,-30.87,84,2,1.03,RU,1613872250
Butaritari,3.0707,172.7902,81.19,80,44,16.78,KI,1613872250
Waingapu,-9.6567,120.2641,84.97,71,13,9.91,ID,1613872250
Kieta,-6.2167,155.6333,85.26,70,43,4.81,PG,1613872250
Stavern,59.0,10.0333,37.99,100,90,5.75,NO,1613872250
Zabul Province,32.25,67.25,47.5,52,76,2.48,AF,1613872250
East London,-33.0153,27.9116,68.79,82,100,8.23,ZA,1613871952
Kikwit,-5.041,18.8162,69.75,92,100,0.69,CD,1613872251
Isangel,-19.55,169.2667,85.84,67,90,10.87,VU,1613872251
Matara,5.9485,80.5353,75.7,87,73,11.34,LK,1613872251
São João do Paraíso,-15.3136,-42.0144,68.4,93,100,6.49,BR,1613872251
Port Alfred,-33.5906,26.891,68.0,81,100,3.0,ZA,1613872039
Gravdal,68.1214,13.5031,30.38,98,79,18.52,NO,1613872251
Mahébourg,-20.4081,57.7,77.0,88,40,4.61,MU,1613872252
São Filipe,14.8961,-24.4956,70.09,76,0,12.59,CV,1613872252
Caravelas,-17.7125,-39.2481,78.48,84,100,10.16,BR,1613872252
Yellowknife,62.456,-114.3525,-5.01,71,90,6.91,CA,1613872252
Goba,7.0167,39.9833,51.33,91,100,2.08,ET,1613872252
Maţāy,28.419,30.7792,46.33,67,0,8.37,EG,1613872211
Langsa,4.4683,97.9683,82.26,67,99,2.77,ID,1613872110
Palana,59.1167,159.9667,9.05,95,63,9.91,RU,1613872253
Rocha,-34.4833,-54.3333,57.02,52,0,5.12,UY,1613872253
Vardø,70.3705,31.1107,18.01,94,95,22.77,NO,1613872253
Militello in Val di Catania,37.2748,14.7934,48.0,100,0,6.91,IT,1613872254
El Seibo,18.7641,-69.0375,73.4,94,40,4.61,DO,1613872254
Kropotkin,45.4375,40.5756,21.02,94,72,2.48,RU,1613872254
Zaysan,47.4667,84.8667,4.64,91,0,0.87,KZ,1613872254
Narsaq,60.9167,-46.05,19.4,79,90,4.61,GL,1613872314
Baykit,61.67,96.37,-14.89,84,97,1.72,RU,1613871949
Bonavista,48.6499,-53.1147,24.01,86,100,4.61,CA,1613872314
Kavaratti,10.5669,72.642,80.22,63,84,3.98,IN,1613872315
Palmas,-10.2128,-48.3603,75.2,94,75,3.44,BR,1613872315
Khanpur,28.6453,70.6567,58.39,33,60,3.33,PK,1613872315
Los Llanos de Aridane,28.6585,-17.9182,68.0,49,0,11.5,ES,1613871954
Chui,-33.6971,-53.4616,61.5,59,0,3.36,UY,1613872316
Sola,-13.8833,167.55,83.37,77,94,10.16,VU,1613872316
Hamilton,39.1834,-84.5333,24.8,68,1,2.21,US,1613871634
Kattivākkam,13.2167,80.3167,77.0,78,75,11.5,IN,1613872316
Ucluelet,48.9329,-125.5528,44.01,100,90,5.75,CA,1613872177
Mezhdurechensk,53.6942,88.0603,-6.52,87,67,3.06,RU,1613872317
Zelenogorskiy,55.0333,87.0,-11.2,77,40,4.47,RU,1613872317
Kyren,51.6828,102.1408,0.48,84,98,0.81,RU,1613872317
Menongue,-14.6585,17.691,60.98,92,100,10.09,AO,1613872317
Lumberton,34.6182,-79.0086,35.6,64,1,2.53,US,1613872317
Kavieng,-2.5744,150.7967,84.24,78,0,11.97,PG,1613872318
Primero de Enero,21.9469,-78.4283,75.2,83,40,9.22,CU,1613872318
Ulladulla,-35.35,150.4667,82.4,54,0,4.61,AU,1613872318
Moree,-29.4667,149.85,91.4,29,0,10.36,AU,1613872318
Rudraprayāg,30.2833,78.9833,57.78,36,0,2.73,IN,1613872318
Saint George,37.1041,-113.5841,50.0,37,90,11.5,US,1613872219
Lukovetskiy,64.2956,41.9211,-31.0,75,20,2.24,RU,1613872319
Sibolga,1.7427,98.7792,82.8,62,75,3.15,ID,1613872319
Tuatapere,-46.1333,167.6833,72.25,46,0,2.73,NZ,1613872319
Ouidah,6.3631,2.0851,82.4,74,20,5.75,BJ,1613872319
San Patricio,28.017,-97.5169,55.4,67,20,9.22,US,1613872319
Leshukonskoye,64.8989,45.7622,-32.49,84,0,4.21,RU,1613872319
Alma,48.5501,-71.6491,15.8,67,79,4.61,CA,1613872283
Santa Cecília,-26.9608,-50.4269,61.09,98,46,6.24,BR,1613872192
Banda Aceh,5.5577,95.3222,81.21,74,92,14.5,ID,1613872320
Dustlik,40.5247,68.0358,38.28,76,100,4.79,UZ,1613872320
Airai,-8.9266,125.4092,71.28,82,100,2.86,TL,1613872320
Kiruna,67.8557,20.2251,3.2,92,90,6.91,SE,1613872321
Saint-François,46.4154,3.9054,53.6,54,0,16.11,FR,1613872321
Qūchān,37.106,58.5095,32.68,93,17,2.39,IR,1613872321
Solano,38.2333,-121.9511,59.0,38,1,10.36,US,1613872321
Linhares,-19.3911,-40.0722,73.49,95,100,1.32,BR,1613872148
Zhaotong,27.3167,103.7167,52.0,68,76,1.5,CN,1613872322
La Libertad,-2.2333,-80.9,75.38,81,37,7.56,EC,1613872141
Timbiquí,2.7717,-77.6654,75.54,87,22,1.52,CO,1613872322
Adrar,20.5022,-10.0711,65.59,22,0,8.97,MR,1613872323
Calama,-22.4667,-68.9333,62.6,19,0,17.27,CL,1613872323
Najrān,17.4924,44.1277,59.0,55,0,2.75,SA,1613872323
Hithadhoo,-0.6,73.0833,82.22,76,74,12.08,MV,1613872323
Arrondissement de Foix,42.8333,1.5833,48.0,54,55,1.99,FR,1613872323
Conceição do Mato Dentro,-19.0372,-43.425,68.18,94,99,2.55,BR,1613872384
Motygino,58.1831,94.7592,-22.45,86,43,3.15,RU,1613872384
Sulangan,11.1373,123.7228,77.04,88,100,25.7,PH,1613872384
San Cristobal,7.7669,-72.225,65.23,86,56,1.81,VE,1613872384
Makkah al Mukarramah,21.4267,39.8261,65.07,53,0,4.9,SA,1613872384
Sutysky,49.0425,28.4173,24.46,98,100,5.44,UA,1613872384
Faya,18.3851,42.4509,57.2,88,75,8.05,SA,1613871953
Stann Creek Town,16.9692,-88.2321,69.01,94,75,6.91,BZ,1613872385
Krasnogorsk,55.8225,37.3181,14.0,85,100,6.71,RU,1613872385
Ketchikan,55.3422,-131.6461,42.8,100,90,17.27,US,1613872385
Hailar,49.2,119.7,7.11,94,100,11.9,CN,1613872385
Neryungri,56.6709,124.6491,-17.36,84,11,4.12,RU,1613872385
Tūkrah,32.5341,20.5791,51.93,75,0,4.36,LY,1613872386
Pinawa,50.1489,-95.8811,16.47,97,99,7.47,CA,1613872386
Jalu,29.0331,21.5482,52.38,52,0,7.36,LY,1613872386
Barentu,15.1139,37.5928,53.69,89,0,1.9,ER,1613872386
Ullapool,57.8987,-5.1604,44.01,66,22,11.01,GB,1613872386
Half Moon Bay,37.4636,-122.4286,55.99,87,1,10.36,US,1613872386
Pacific Grove,36.6177,-121.9166,53.01,87,12,5.01,US,1613872304
Jiangyou,31.7667,104.7167,62.51,49,0,0.78,CN,1613872387
Russell,32.3502,-85.1999,48.2,37,1,2.66,US,1613872387
Viedma,-40.8135,-62.9967,59.97,55,0,12.39,AR,1613872224
Vila Velha,-20.3297,-40.2925,82.99,88,40,5.75,BR,1613872387
Coquimbo,-29.9533,-71.3436,60.8,88,20,6.91,CL,1613872387
Ribeira Grande,38.5167,-28.7,56.21,63,99,19.08,PT,1613871883
Flinders,-34.5833,150.8552,84.99,68,0,4.0,AU,1613872388
Antofagasta,-23.65,-70.4,66.2,72,20,9.22,CL,1613872388
Puerto Escondido,15.85,-97.0667,78.8,78,1,3.44,MX,1613872388
Luangwa,-15.6167,30.4167,73.22,89,100,1.9,ZM,1613872388
Sussex,41.1834,-74.6663,26.6,68,20,4.61,US,1613872175
Birjand,32.8663,59.2211,39.2,33,0,4.61,IR,1613872389
Tasiilaq,65.6145,-37.6368,32.0,80,90,24.16,GL,1613872344
Nioro,13.35,-15.75,75.56,21,0,10.31,GM,1613872389
Emba,48.8264,58.1442,2.3,93,100,2.93,KZ,1613872389
Seidu,9.0167,-10.6,70.84,87,17,2.04,SL,1613872389
Carutapera,-1.195,-46.02,76.14,92,100,4.65,BR,1613872390
Ishigaki,24.3448,124.1572,71.6,53,40,9.22,JP,1613872390
Igarka,67.4667,86.5833,-27.98,85,94,5.48,RU,1613872390
Cabo San Lucas,22.8909,-109.9124,68.0,56,1,3.44,MX,1613872390
Provincia di Cagliari,39.245,9.0912,50.0,93,0,3.44,IT,1613872345
Colares,38.7992,-9.4469,51.01,92,100,12.88,PT,1613872391
Lompoc,34.6391,-120.4579,53.6,71,1,18.41,US,1613871948
Rūdbār,30.15,62.6,63.66,35,46,4.81,AF,1613872391
Province of Palermo,37.8167,13.5833,53.01,78,0,2.37,IT,1613872391
Lagoa,39.05,-27.9833,54.5,67,100,20.27,PT,1613872332
Port Hawkesbury,45.6169,-61.3485,21.99,86,90,9.82,CA,1613872391
Requena,39.4883,-1.1004,52.0,84,100,8.75,ES,1613872392
Plouzané,48.3833,-4.6167,51.8,100,90,9.22,FR,1613872452
Honmachi,32.5,130.6,62.6,63,20,11.5,JP,1613872452
Mitú,1.1983,-70.1733,74.88,88,100,3.38,CO,1613872452
Vicuña,-30.0319,-70.7081,60.8,88,20,6.91,CL,1613872452
Manokwari,-0.8667,134.0833,78.08,87,100,6.04,ID,1613872453
Yangi Marg`ilon,40.4272,71.7189,42.8,87,75,4.61,UZ,1613872453
Līsakovsk,52.5369,62.4936,-17.91,85,0,7.23,KZ,1613872453
Ballina,-28.8667,153.5667,80.6,83,75,16.11,AU,1613872453
Richards Bay,-28.783,32.0377,74.89,81,100,16.44,ZA,1613872453
Verkhoyansk,67.5447,133.385,-29.92,77,0,0.96,RU,1613872200
Ancud,-41.8697,-73.8203,55.4,67,90,3.44,CL,1613872454
Yurty,56.0498,97.6348,-9.65,89,75,5.08,RU,1613872454
Kudahuvadhoo,2.6708,72.8944,81.19,75,68,11.54,MV,1613872364
Havre-St-Pierre,50.2334,-63.5986,8.6,66,1,5.75,CA,1613872454
Paracelis,17.2667,121.4667,69.44,66,100,2.39,PH,1613872454
Lubango,-14.9172,13.4925,57.72,71,100,4.72,AO,1613872454
Jacareacanga,-6.2222,-57.7528,72.84,97,100,0.58,BR,1613872454
Montrose,38.4166,-108.2673,33.8,75,75,16.11,US,1613872455
Boone,39.0334,-92.3335,39.2,56,1,6.24,US,1613872194
Leningradskiy,69.3833,178.4167,-11.79,88,100,8.61,RU,1613872391
Dakar,14.6937,-17.4441,64.4,77,1,17.27,SN,1613872455
Poso,-1.3959,120.7524,84.76,61,84,2.91,ID,1613872166
Egvekinot,66.3167,-179.1667,-13.43,88,55,7.49,RU,1613872455
Pangody,65.85,74.4859,-41.04,81,12,2.1,RU,1613872455
Semey,50.4111,80.2275,-11.2,77,0,8.95,KZ,1613872390
Tyul'gan,52.3405,56.166,-23.35,88,77,2.71,RU,1613872456
Cayenne,4.9333,-52.3333,78.8,83,90,5.75,GF,1613872452
Lichinga,-13.3128,35.2406,64.4,100,75,9.22,MZ,1613872456
Padang,-0.9492,100.3543,84.2,70,20,2.3,ID,1613872456
Sungai Penuh,-2.0833,101.3833,72.68,77,74,2.55,ID,1613872457
Yanam,16.7333,82.2167,77.0,78,40,8.05,IN,1613872457
Dingle,10.9995,122.6711,74.53,85,100,11.81,PH,1613872457
Iqaluit,63.7506,-68.5145,-23.01,76,1,1.39,CA,1613872457
Trincomalee,8.5711,81.2335,79.36,78,82,11.34,LK,1613872457
Sistranda,63.7256,8.834,42.8,70,75,24.16,NO,1613872457
Kalga,50.9251,118.898,2.34,91,98,2.59,RU,1613872458
Quatre Cocos,-20.2078,57.7625,78.01,88,40,4.61,MU,1613872458
Berlevåg,70.8578,29.0864,15.49,91,5,26.04,NO,1613872458
Muaná,-1.5283,-49.2167,75.33,92,100,4.5,BR,1613872458
Tabas,33.5959,56.9244,49.96,42,0,4.92,IR,1613872458
Cairns,-16.9167,145.7667,88.0,66,40,2.3,AU,1613872458
Sri Aman,1.2376,111.4621,78.8,89,20,1.14,MY,1613872459
Brønnøysund,65.4625,12.1997,35.6,93,99,5.75,NO,1613872459
Axum,14.1245,38.7244,49.08,82,0,0.54,ET,1613872459
Reshetylivka,49.565,34.0782,26.01,98,100,8.99,UA,1613872459
Oskarshamn,57.2645,16.4484,34.0,94,100,6.55,SE,1613872459
Dicabisagan,17.0818,122.4157,70.77,76,100,7.63,PH,1613872459
Mogadishu,2.0371,45.3438,76.01,81,100,14.32,SO,1613872235
Pangnirtung,66.1451,-65.7125,-21.64,68,0,1.39,CA,1613872460
Karasburg,-28.0167,18.75,63.03,48,68,11.18,NA,1613872460
Shancheng,34.7953,116.0817,70.0,48,0,1.01,CN,1613872520
Vanimo,-2.6741,141.3028,82.92,75,99,1.52,PG,1613872520
Puerto Suárez,-18.95,-57.8,74.7,59,93,2.89,BO,1613872520
Northam,51.0333,-4.2167,48.99,90,44,5.99,GB,1613872521
Youhao,47.8667,128.8333,9.41,87,87,1.32,CN,1613872521
Mount Darwin,-16.7725,31.5838,68.54,86,100,3.58,ZW,1613872521
Swan River,52.1058,-101.2676,26.6,68,50,10.36,CA,1613872521
Harlingen,26.1906,-97.6961,59.0,67,1,11.5,US,1613872373
Guaca,6.8762,-72.8559,58.62,83,76,0.72,CO,1613872521
Mīnāb,27.1467,57.0801,66.2,82,75,6.91,IR,1613872522
Novy Urengoy,66.0833,76.6333,-41.03,81,10,1.25,RU,1613872522
Moussoro,13.6408,16.4901,63.01,26,0,12.39,TD,1613872522
Brae,60.3964,-1.353,48.2,81,50,28.77,GB,1613872522
Samarai,-10.6167,150.6667,85.26,69,31,8.21,PG,1613872522
Malanville,11.8685,3.3899,68.27,19,7,7.83,BJ,1613872522
Gairatganj,23.4202,78.2385,59.9,33,75,3.09,IN,1613872523
Challakere,14.3167,76.65,70.41,71,75,8.99,IN,1613872523
Mossamedes,-15.1961,12.1522,70.7,71,99,7.45,AO,1613872523
Marsá Maţrūḩ,31.3525,27.2453,48.2,81,0,4.43,EG,1613872523
Arlit,18.7369,7.3853,58.89,28,0,2.95,NE,1613872523
Severo-Kuril'sk,50.6789,156.125,29.01,97,100,24.16,RU,1613872523
Borogontsy,62.6683,131.1683,-20.02,86,93,4.38,RU,1613872524
Norfolk,42.1668,-71.2495,26.01,74,48,6.93,US,1613872327
Torbay,47.6666,-52.7314,26.01,74,90,12.66,CA,1613872524
Korla,41.7597,86.1469,40.28,61,57,8.34,CN,1613872524
Kahului,20.8947,-156.47,80.6,50,40,19.57,US,1613872225
Dawlatabad,36.4141,64.9053,45.12,63,88,4.23,AF,1613872524
Carauari,-4.8828,-66.8958,71.46,96,87,1.45,BR,1613872525
Berdigestyakh,62.0989,126.6992,-20.06,85,100,4.27,RU,1613872525
Pevek,69.7008,170.3133,-19.37,87,100,4.79,RU,1613872525
Bairiki Village,1.3292,172.9752,84.2,79,20,5.75,KI,1613872525
Yantal',56.8471,105.2542,-6.43,87,100,7.92,RU,1613872525
Khovd,48.0056,91.6419,21.87,74,0,3.22,MN,1613872526
Pitimbu,-7.4706,-34.8086,80.6,83,20,11.5,BR,1613872526
Whyalla,-33.0333,137.5833,69.8,64,75,19.57,AU,1613872526
Masvingo,-20.0637,30.8277,68.4,81,100,5.95,ZW,1613872526
High Level,58.5169,-117.136,21.2,79,75,4.61,CA,1613872402
Joshīmath,30.5667,79.5667,50.74,34,0,5.03,IN,1613872527
Olafsvik,64.8945,-23.7142,38.79,76,54,11.23,IS,1613872527
Amalāpuram,16.5833,82.0167,77.0,78,40,8.05,IN,1613872501
Kargasok,59.0556,80.8572,-18.54,87,100,9.46,RU,1613872397
Grootfontein,-19.5667,18.1167,64.67,91,100,8.41,NA,1613872527
Bilma,18.6853,12.9164,61.47,28,70,5.41,NE,1613872527
Yenagoa,4.9247,6.2642,76.24,84,100,3.02,NG,1613872528
Mercedes,-34.6515,-59.4307,66.0,75,0,8.77,AR,1613872417
Witney,51.7836,-1.4854,51.8,82,75,9.22,GB,1613872528
